user_id,serial_no,user_code,business_key,id_card,phone,name,email,device_id,trans_id,secret_code
83677,9912011946106,CZJE,Jp084AGIhA,58863719640904596X,***敏感信息系统已自动屏蔽***,何军,tu29d@cmbchina.com,F5:2F:87:F2:07:71,939431104270952977,01IYAX
59929,2640494781268,UBRX,n*^NcWdFO,60642119991203924X,***敏感信息系统已自动屏蔽***,李秀英,dqg8ledi7v@qq.com,14:F3:D4:46:4B:09,***敏感信息系统已自动屏蔽***9901380,PSQNPY
85488,3***敏感信息系统已自动屏蔽***1,SUID,olL5zp1sgCLMF,50314919821123376X,18257403764,杨军,6iwar7fk@qq.com,0E:33:71:E6:F7:1C,762430106686324013,TLOGNU
46264,1078203175781,XPOC,OpCBJmPM,22293019731202738X,***敏感信息系统已自动屏蔽***,罗敏,jo5vbjc90m@163.com,F2:F2:DF:7D:C2:3A,552416519497923135,HPIAQA
47355,6623856828455,CTEE,RI%!h9xpJ,36653919700606325X,***敏感信息系统已自动屏蔽***,周洋,tpntx@163.com,6F:BF:7E:48:83:B6,616744160488282857,DKIT3X
51134,4501833897741,XZZI,9X0a%aGEP%jE8mf5,6***敏感信息系统已自动屏蔽***02908X,***敏感信息系统已自动屏蔽***,郭杰,ptz2fo9i@163.com,63:EF:CF:B1:DC:56,1795***敏感信息系统已自动屏蔽***687,XTUYQP
88837,3673501267086,XMZS,UEfM6JIabAq,28653819630904539X,***敏感信息系统已自动屏蔽***,孙磊,doe6mn2td@cmbchina.com,13:4A:87:80:74:30,921114102071268951,MM6YOG
30488,4295998530076,LOOW,4&2%l%45&Qu,2***敏感信息系统已自动屏蔽***15716X,***敏感信息系统已自动屏蔽***,徐明,pfzw3@126.com,B3:5C:8C:92:6C:26,582984001169206112,TN65LV
94506,9851876739819,RKWO,GI6fO8OZSH,61922519870810733X,***敏感信息系统已自动屏蔽***,张涛,cqvmchos2@sina.com,18:4B:11:57:CF:16,675559572619751638,V443EF
91034,4829152794310,GAYL,5raTs84C1aNF1ac,***敏感信息系统已自动屏蔽***,18232463450,徐涛,luxws@cmbchina.com,AC:4A:26:41:FC:4B,289404597618054324,7C6EOR
